id	detection_time	location_area	distance	detectors			NS_NS	NS_BH	BH_BH	mass_gap	terrestrial		
GW event	Detection time	Location area	Luminosity distance	Detector	False Alarm Rate	False Alarm chance in O4	NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial	Notes	Ref
GW event	 Detection	Location	Luminosity	Detector	False Alarm	False Alarm	Classification					Notes	Ref
	time (UTC)	area[n 23]	distance	[n 25]	Rate (Hz)	chance in O4[n 26]							
		(deg2)	(Mpc)[n 24]				NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial		
							[n 27]	[n 28]	[n 29]	[n 30]	[n 31]		
S230924an	2023-09-24 00:00:00	835	2358±596	H,L	3.2 10−10	0.015	0.0	0.0	~1.0	0.0	1.9e-5		[164]
	12:44:53												
S230925cj	2023-09-25 00:00:00	4087	?	H,L	2.1 10−7	0.9999[n 71]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 30 milliseconds at a frequency of ~20 Hertz.	[165]
	23:58:25												
S230927g	2023-09-27 00:00:00	493	?	H,L	7.2 10−7	~1.0[n 72]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 1 millisecond at a frequency of hundreds of Hertz.	[166]
	02:49:41												
S230927l	2023-09-27 00:00:00	1177	2966±1041	H,L	1.1 10−8	0.394	0.0	0.0	0.976	0.0	0.024		[167]
	04:37:29												
S230927be	2023-09-27 00:00:00	298	1059±289	H,L	3.2 10−10	0.015	0.0	0.0	0.99966	0.0	0.00034		[168]
	15:38:32												
S230928cb	2023-09-28 00:00:00	3093	5604±1692	H,L	9.5 10−10	0.043	0.0	0.0	~1.0	0.0	2.8e-5		[169]
	21:58:27												
S230930al	2023-09-30 00:00:00	2799	5123±1615	H,L	7.4 10−9	0.291	0.0	0.0	0.994	0.0041	0.0061		[170]
	11:07:30												
S231001aq	2023-10-01 00:00:00	3323	2567±958	H,L	5.0 10−9	0.207	0.0	0.0	0.996	0.0044	0.0040		[171]
	14:02:20												
S231004bq	2023-10-04 00:00:00	4742	7960±2738	H,L	7.6 10−7	~1.0[n 73]	0.0	0.0	0.677	0.030	0.292		[172]
	23:23:46												
S231005j	2023-10-05 00:00:00	5480	6417±2246	H,L	3.2 10−8	0.777	0.0	0.0	0.978	0.0	0.022		[173]
	02:10:30												
S231005ah	2023-10-05 00:00:00	2497	3707±1335	H,L	2.0 10−9	0.091	0.0	0.0	0.998	0.0041	0.0015		[174]
	09:15:49												
S231007w	2023-10-07 00:00:00	2648	3721±1231	H,L	6.1 10−7	~1.0[n 74]	0.0	0.0	0.746	0.0041	0.254		[175]
	13:47:20												
S231007am	2023-10-07 00:00:00	5225	?	H,L	2.2 10−7	~1.0[n 75]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 4 milliseconds at a frequency of ~500 Hertz.	[176]
	17:13:31												
S231008ap	2023-10-08 00:00:00	3102	3531±1320	H,L	1.5 10−9	0.069	0.0	0.0	0.9986	0.0	0.0014		[177]
	14:25:21												
S231014r	2023-10-14 00:00:00	1807	2857±903	H,L	1.0 10−8	0.382	0.0	0.0	0.992	0.0	0.0080		[178]
	04:05:48												
S231017e	2023-10-17 00:00:00	10355	?	H,L	6.2 10−7	~1.0[n 76]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 26 milliseconds at a frequency of ~30 Hertz.	[179]
	00:59:24												
S231018br	2023-10-18 00:00:00	462	?	H,L	8.1 10−7	~1.0[n 77]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 31 milliseconds at a frequency of 328 Hertz.	[180]
	16:43:52												
S231020ba	2023-10-20 00:00:00	1339	1168±361	H,L	1.3 10−9	0.057	0.0	0.076	0.851	0.066	0.0070		[181]
	14:29:47												
S231020bw	2023-10-20 00:00:00	888	2868±924	H,L	3.5 10−10	0.016	0.0	0.0	0.99965	0.0	0.00035		[182]
	18:05:09												
S231025a	2023-10-25 00:00:00	2254	233±135	H,L	9.3 10−7	~1.0[n 78]	0.587	0.0016	0.0	0.0	0.412		[183]
	03:11:24												
S231025ap	2023-10-25 00:00:00	4584	4394±1526	H,L	3.7 10−7	~1.0[n 79]	0.0	0.0	0.794	0.035	0.170		[184]
	14:23:06												
